Khowar,English
شونج ,needle (for sewing of timepiece)
شونجَہرکوس حا جتہ گوئی۔,Everyone needs a needle.
شیپیک , to clean by pushing aside
روئی ای بیٹےَ ژوئیَشیپینیان۔,The people are cleaning the water channel
یسی تو پیکوَمہ اورا رَوَہائی۔,On drinking buttermilk I felt sleepy.
َََ کاغو رنک ݰا بوئی۔َ,Crows are black.
َََ تہ سارَ ݰاَ ہَََوتُام۔َ,I’m tired of you (due to some bad habit of yours)
. ݰابوک , bride; bridegroom
َََ ݰابوکو چھوچیَانگونیان۔,They are bringing the bride tomorrow.
اسور۔,That boy is wearing very beautiful handsome bridegroom
 ݰا خرَ  ,ray (of light)
یوروَݰا خرَموخیٹیَ توریَشیر۔,The rays of the sun have reached the veranda.
 ݰا در ,  servant; retainer
مہ تتَ متارو ݰادر اوشوئی۔,My father was a retainer (servant) of the
ݰاؤَ مہ پوےسیَ۔َ,Meet with me soon.
ݰا ؤکَ , slipknot; stitch 
َََ ݰا ؤک لینو بچھیریک اسقان۔َ,It is easy to untie a slipknot.
بوئی۔َ,There are stitches in a child's sock.
ݰایوز , glacier 
ݰایوز یوَغیریتائی۔,The glacier fell down. 
 ݰیری وگَ , clover; shamrock
ݰیریوکیو گاز بوَݰئیل بیٹےَ شیر۔,The clover field has become very beautiful
 ݰپیکَ ,bread; food; meal
 ݰپیک تیارَ بیٹےَََشیرر۔,The food is ready.
َََ مہ ژورَ ݰپیک کوریک بوئی۔َ,My daughter is able to make bread.
مہ ت ھوئیکَ ݰَٹے نوَتوریتائی۔,I didn't hit the target with my rifle
ݰݯَ ,  clean
ݰݯ ا وغَ زپو جم صفا کوئی۔,Clear water cleans clothes well.
 شےی مو ,turnip
 ݰَماَغَ ,veil (of burqa)
کومو روَ مخوَ ݰَماغ دَرا اسور۔,The girl has covered her face with a veil.
ݰمݰوئی ,  action of cleaning rice 
ن سائی۔َ,When the rice is decanted in water
ݰوَ دیَکَ , to search (as in a raid)
ݰوَدیٹےَ ت ھوئیکو نیتائی۔,They searched and found the rifle.
 ݰوائیَ , type of bead
ݰوائیَنوَََنیرییلیک۔,One should not put beads on children's
َ کومو رَوَ ݰوائیَ بوئے اسور۔,The girl is wearing beads.
ݰوتار , ground in dry river bed
کسیسان؟,Why are you walking around in the dry river bed?
 ݰوݯکَ , special clay or silt used for coating
ویشینیان۔,The children are writing with clay dissolved charcoal).
 ݰوخ , miserly
  ت وَسخت ݰوخَموش۔َ,You are a very miserly man.
ځاہو ت روپَݰورَبیتیَشیر۔,There is too much salt in the food/curry.
ݰوربہ , gravy; liquid part of cooked dish
ݰورہ ,saltpeter (potassium nitrate); extracted
سَاَََؤزین بوئی۔َ,Gunpowder can be made from saltpeter.
ݯَکینیان۔,(The parts of) a sitar are joined together with glue.
 ݰوݰپ , Chitrali halwa
توخمیرانوئےَݰوݰپ کو رور۔,Make Chitrali halwa for (my) in -law.
بیتیرَاؤلیئینَݰوکَبیتیَشیر۔َشیر۔,A path has been trodden into the snow at
شیر۔َشیر۔ , My house is near the road.
شور۔,Sit close to each
ݰیغنوَبوڑیتائی۔,They slaughtered an animal (sheep or goat)
َََ مہ ݰیکو پلوغَ شیٹی۔َ,I have apples wrapped in the front part of
اسور۔,The little boy is sitting on my lap.
اسوس۔,Today you are looking very beautiful.
َََ ݰئیلَ رویو لوَدیَ ݰئیل بوئی۔َ,The words of a beautiful person are also
ص بر کوریک بوَ مش کل ا شناری۔,To be patient is a difficult thing.
بوئی۔َ , Correct words are never lost.
َََ سوالو صحیح جوابو نو پراؤَ۔َ,You didn't give the correct answer to
ہمیشہ صفاَ زپ انجیلیک۔,One should always wear clean clothes.
موَپائسانَضائعَموَکورے۔َکورے۔,Don't waste (your) money!
ہوئی۔َوَضائعَہوئی۔َ,When he fell down his arm was
عاشقَ دوستو بچے تییَیانوَدیَدوئی۔,A lover will give even his life for his beloved.
ہیس بوہیسَبوَع جزَڈق۔َ,He is a very meek boy.
مہ ژاؤ متے بوَع زت کویان۔,My son shows me much respect.
 عشَقَ , love; passion
عشقَہر ا یوالوَ سمَکورین نوَبوئی۔,One cannot fall in love with everybody/just
اسوم۔َََ, I have bought this land in exchange for
پرائی۔َ,
ملگیری۔,A woman is a great companion in a
غائبانَہ , work shirker ; one who avoids work
غائبانہ۔,That laborer is a great work shirker.
غاروَ بیکوَبوسا؟,Can you go down into the cave?
غاربیل , wide -meshed sieve for grain
غاربیلغاربیلَژوؤ صفاَکویان۔,A sieve cleans grain.
ش رَوَبوئی۔,In the summer it is cool in the high pastures.
غاڑ ,  game (polo; hockey;football);
َََ ا سپہَہر ان وس غاڑَََکوسیان۔,We play hockey /polo every day.
)ََ(َ مہ ق لمو بل غاڑ بیٹےَ شیر۔َ,The cap of my pen has become loose.
برارَ متےَغاڑو څن انزیٹی اسور۔,(My) brother has sent me a polo stick.
غاؤغاَؤَ γaoγáo n verbal fight, noisy quarrel ;wrangling
عورتان کھیوئے غاؤغاؤَکونیان؟,Why are the women quarreling noisily?
چ ھتوئےَ غروݱوئےَغروݱَسیرینیان۔َ,They are carrying/hauling gravel to the pond
(for ducks). غروسک γrosk n willow,branches cut as fodder
لیشپائیَ غروسکانَاویوئی۔,The sheep and goats ate willow branches.
غݱیئکَ γaẓ̌ éik vt to crawl on the,skin and cause
َ پلیلَ مہَ غݱیران۔,An ant is crawling on my skin and
َََ میتار تنَ ملکھو موژیَ غݱیران۔,The Mehtar is touring in his country.
غال موسَ , low-class; person; uncultured person
کوئی۔,An uncultured person does not know how
غوَٹَ , dumb (not able to speak) ;feeble 
نوغوٹَرویوَکاراَنوَدوئی۔َدوئی۔,A dumb person cannot hear.
غو چو , patch of hide leather (of large animal)
کون بخ بیکوَغوچوَدراؤتائی۔,When skin shoes got holes in them
مزاَکویان۔,
ژوؤکیمیریانَژوؤَغوڅینیان۔َغوڅینیان۔,The women are cleaning (the) grain.
غور دومیکَ ,  to charge at someone in anger ready to fight 
 غوردیئکَ to,move (eggs) around 
کہاک ائی کَونانَ غوردیران۔,The hen is moving her eggs around.
 غورژیَرَ ,three year
پختیوَغوریہَدیت۔,Put the rice in the platter.
غوریَرَ , large earthen vessel with round
غوریروَیسی تو کونیان۔,They are making buttermilk in an
بوئی۔,A rabbit's front legs are short. (i.e. shorter
مہَری ݰوَسختَ غوز۔,My bull is very slow -moving/lazy.
لشَ غَوزار لکھے۔,Step slowly/softly.
غوَشَ , free time
مہ تہَ سو لواَݯوکیکوَ غوش نوَبویان۔,I don't have time to chat with you.
بوئی۔َ,Two swallows of cold water are enough to
غوَنَ ,  postposition like; similar to;
ژور تن ننوَغون۔,The daughter is just like her mother.
غیئا رمَ , cooking/eating;utensils
الوے۔َ,Wash the dishes and throw out
ََ دوروتَغیئا رم کرینیمان۔َ,I am buying utensils for the
غیچ بو نا زک ا شناری۔,The eye is a very delicate thing.
اوا تییَیاوو گیکوئےَغیچ کومان۔,I am waiting for my son's arrival.
غیچودیاکو چورَورا زن بوئی۔,A dragonfly has four wings.
غیردیک , to move in a circular motion; revolve; rotate; turn
غیردیئَکَ , to cause to move in a circular
ڈق کَرامیک لیشانَغیردیران۔,The boy is driving the threshing animals around in circles. 
غیرغیر ,walking around and around
بیہخرََََ اسور۔,My little son doesn't want to leave his
َََ ژوؤَغوݯیَ غیرغیران اف ا الوے۔َ,Clean the grain and throw the remaining
صندوقَغیرناناَ غی رَدوران۔,The box is revolving in the whirlpool.
غیرناغیر ,  turning again and again with many turns.
 غیرییئک , to curl hair (artificially) to swirl 
َ کومورو پ ھرانَ غیرییٹیَ اشور۔َ,The girl has curled her hair.
َََ تروپو چایوَغیریاوے۔,Swirl the salt in the tea.
غیرییٹیَََگائی۔,Look over these pens and select one
غیساَرَ , row of flat stones or planks placed on top 
ضیوری۔,It is very necessary to place a row of stones or planks on top of a mud wall. 
غیئَکَ ,  to utilize; exploit (person); 
غوٹوَ مخگَغیران۔َ,S/he is getting a lot of work from the mentally
ت و ا نگار چنگاؤَمہ فانَدوسان۔,You are just lying and deceiving me
تعلیمتعلیمَ سفانتے فائدہ تاریٹیَ شیر۔,Education has benefited everyone.
فَرَاخ پیران تہَ سو جَمَََنایوران۔,A loose shirt suits you.
ف رنیکیَ ,  foreigner
َََ عورتان فرنیکیَ زپَ انجوئی۔َ, Women wear foreign dresses
 ف رٹ , fruṭ brittle; not flexible
ف رٹَدار کھیوئے گون نو بوئی۔,Brittle wood can't be used for the handle
بتیٹی۔,When harnessing animals for threshing
فروسکَدار ٹ ھون بوئی۔,A straight piece of wood can be (made into) a pillar.
 فروسکیئک , to straighten
پیڅیھَََالکھے۔,Clarify your property boundary line once
نوَََریلیکَ۔,Before determining the truth
فروسکیتائی۔َ,When the patient died his brother breath heavily
فروݰیئک , to breathe heavily/noisily
کااوریئیَاسیکہَہرَکاَفروݰیر۔َفروݰیر۔,During sleep everyone breathes heavily through the mouth.
 ف ڑَق ,suddenlyr 
 فسادَیَ , quarrel
یَکونیانَکونیان,Women quarrel over minor things in
سَلَپولوئیتائی۔,This year because of drought the crops
مہَژاؤ فقطَہےَ ڈقوَغون تان۔,My son is exactly like that boy.
فالؤیس ,  mischief; malicious gossip
گناہ۔,To spread malicious gossip is a great sin.
فہمار بیکَ , bik vi to become; confused; upset
نوَ بیتائی۔َ,The man became confused and wasn't
بینیان۔َ,These days people are losing their senses
لوٹفیلَسفوسارَلوٹَژانوار۔َ,The elephant is the largest animal of all.
قاچیوَسوراَمہَ زپان پھیرےک۔,Cut out my clothes with scissors.
قاق ,  completely dry
ئرَََشیر۔,Because of having no rain for a long
بیٹےَََاسوم۔,I am completely dried out from thirst.
َََ بارَ مٹ قائیَ بیٹےَ شیر۔,The load has become heavy for me.
اسوس۔,You don't want to talk to me; you have
ق بر پݰیک اوالتگریو کو رم۔,To dig a grave is a social/joint work.
ریٹی۔,Some people snore as soon as they go to
ق ڑوچ کوریک ,  to swallow
بومان۔َ,Because my throat is hurting I cannot swallow
پچیتائی۔,Today the contractor gave the workers a bad
ژیبیلیک۔,Food should always be eaten in the same
دونیان۔,The Gujurs give a fixed grazing land
بوَشیٹی۔,There are many iron mines in Chitral.
پویسی اسوم۔,Today I have seen a strange thing/event.
بوئی۔,Not every woman can make dehydrated
ہوئی، ق و روت۔,Even if you eat up his money
بیریَ کا ق وژد کونیان؟,Who are shouting (i.e. making noise)
جواریَسوران قونہ پچیتائی۔,They roasted ears of corn on burning coals.
نہانگَموشو قوہت اریر۔,The dragon swallowed up the man
-بیری ن شَ۔ کا ق وَیران۔,Come/go out; someone is calling (you).
ہرین اسور۔,On (my) failing in the examination (my) father
ق ہرَ , anger
مہ تتے ق ہر گویان۔,I am feeling angry at you.
شیر۔,Cloth has been glued onto the wood.
کا ,who 
َ کا تہَ مݰیک اسور؟,Who has called you?
جم۔,Who among us is good?
َ کاَ مہ پائسان ال دو۔,Someone has taken my money
گوردوغو کارَد رونگ بوئی۔,A donkey's ears are long.
مہمہَا ستاد کاروٹو بیٹےَ اسور۔,My teacher has become deaf
کان شانہ چھاغَََکونیان۔,Trees provide shade in the courtyard.
 کان و kánu , blind; blind person;
کان و کیہَ مݰکیر۔َغیچ۔َ, What does a blind man want? Eyes.
کائی , elder sister
اسور۔,My elder sister has called me.
کپھیٹیَ , wooden spoon; with handle on side
نییک۔,Now the custom of using wooden spoons
کٹوریَدراوے۔,Shake the mulberry trees and put the
ڈخینیان۔,The boys are cracking fruit pits. 
 کروپ ھیَکَ ,to crow (of cock; rooster)
ہوازکوَکروپ ھیکوَہوازَگویان۔َگویان۔,I can hear a cock crowing. 
کروَٹَ , big; thick irregularly shaped
ستانیر۔,Proverb. The river brings a big piece of wood;
ک روݯ , burned up
َََ پروانہ انگاروَغیری ک روݯَہوئی۔َ,The moth flew into the flame and was
روݯَہوئی۔َ,The boy was consumed with passion for
ک روئیک , to be temporarily annoyed or estranged from someone
َََ پھارَہیرا ک روئی پلوغَشیر۔,There is a red apple over
َََ تہَغیچ ک روئی بیٹےَ شیٹی۔َ,Your eyes have become red.
تتےکریم اریتُاما؟,Did I turn my back on you? (i.e. You aren't
کڑامَژوڑوَ سوَژ یبیکو بو جم بوئی۔,It is good to eat turnips with nuts.
ک ڑوݯر , chick; young chicken 
 ک ڑومَ , deep
بوئی۔,Fish live in deep ponds.
کوس۔َ,You don't understand very deep words.
ہیہَدیہا جوش ک شونَشیٹی۔,There are ten households in this
کݰیٹر جواریَسورو اوائی۔,The magpie took away an ear of corn.
 کݰیَکَ ,to slaughter
َََ متے کہاک کݰور۔,Slaughter a hen for me.
َََ ہیس تن پایو کݰیتائی۔َ,He slaughtered his (own) goat.
زمینداران کݰیکَ ش روغ اریٹی۔,The farmers have begun to plow.
تائی۔َ,In the old days they used to have good plows
کلکور بیرموغہ ن شیَاسور۔,The dove is sitting on the walnut tree.
کلیر , dead body; carcass (of haram animal)
رینیوَ کلیر پونہَ پیڅیھَََشیر۔,The dead body of a dog is left lying in the road.
 کما , how many (countable objects)
تہَ کماَ ژیژاؤَََاسوئی؟,How many sons do you woman
 ای کمیری پونیری پھار بغائی۔,One/a woman went past along the road.
کَن دوریَ , how much (non countable)
ژوَہوئی؟,This year how much was your
پیری سَلیری کو ن ویشیسان؟,Why are you writing with a
pencil? کَََوَتیرََ kutér n,knife
پلوغانَََچھییی۔,Cut the apples with a knife.
 کوٹ ھو, shoulder
االئی۔,S/he put it on her/his shoulder and
کوݯ ھون کوش بوئےَ شیر۔,The beans/legumes have formed pods.
غیریتائی۔َ,It hailed and caused the apricot blossoms to
ہمو کورا لیتاؤ؟,Where did you find this?
,کیہ کوریک اسقان، کیہَ ژَیبیک زورَ۔َ It is easy to work; it is difficult to eat.
ریٹیَ کوڑو ݯَاچھیران۔,The dog is gnawing a bone.
نوَبویان۔,The man cannot walk because his leg is
ہوئی۔َبوَکوسیَمہَپونگَکوشَہوئی۔َ,From walking a lot my feet became
َََ شیرجوَ کوش بوئےَََشیرر۔,The lentils have formed pods.
کووور ݯھییےی ژیبونیان۔َ,Pigeons are eating (grains) in the field.
کوئیتو ا سپ روؤ پوشیری نو بوئی۔,Fig blossoms cannot be seen.
کݰیتائی۔,They killed/slaughtered twenty hens.
ََََ کہاکَََائیکون نوَدرینیان۔,The hens aren't laying eggs.
مہ حصّہ گ؟ , Which one (of these) is my share?
کیاَغَ ,interrogative pron what?
کیاغَ مݰکیسان؟,What do you want?
ہیت کیانیَبونیان؟,What are they doing? (i.e. why are they
کیائی، کیچہَ اسَوَس؟,How goes it how are you?
بوئی۔,The price of a sheep is less than that of a goat.
 کیرییَکَ ,to cry; weep
کیریی کیرییَہوروَغیچ کوش ئر رو۔,From weeping continuously his/her eyes
ت و کیہَوت بیسان؟,When are you going?
ق لمانَموژی کیوایل کہ تہ خوش کتی۔,Take whichever of the pens you like.
ژَیبیلیک۔ُ ̌,One should definitely eat fresh greens
شیر۔َََ ,The wall of my room has fallen down.
کھانجَٹرَََشیر۔ ,The wall of my house (has fallen down and) is ruined.
کھانیسَمہ ݯ ھمیران۔,The moong beans are giving me a stomach
شیتام۔َََ,I went to Nowshera and sat in a boat.
َََ فقیروَ گوڑوَََک ھشٹے شیر۔َ,The mendicant has a begging bowl
ک ھَݰیَکَ , to rub; to grind by rubbing
ک وَمورو پو رو ک ھݰیران۔,The girl is grinding burnt goat horn (to make
ک ھݰیئک kha ṣéik vt to wet/dip bread,in moist dish ( dzah )
ݰپیکوَ شخہ ک ھݰاوے۔,Dip your bread in the cooked vegetable.
ژوڑی ک ھلَہوئی۔,The apricots are finished.
اسمائی کھوٹ گٹیَ شیر۔,The sky has clouded over.
تت تییَیاووَسوم بوَ کھوٹوٹَہوئی۔,The father scolded his son severely.
موش ک ھوئی پھار بیران۔,Limping the man is going over there (away from speaker).
 ک ھور , weak; dim (of eyesight)
پورار ئ َ مہَغیچ ک ھور بیٹےَ شیٹی۔,My eyesight has become weak since last
کھوڑَیَ  ,  left
ہے ڈق کھوڑی اسور۔,That boy is left -handed.
بیتیَاسور۔,My son has gone somewhere and hidden.
ک ھَََوَ شونَ ,household
 کھول ,threshing floor
کرامینیان۔,Some people even today thresh on a
سوروَدیاؤتائی۔,Previously women used to wear
مہ لیشوَ گاربیریَ بیتیَاسور۔,My cow is pregnant.
گاڑیَ پشاوروتَََبیران۔,The vehicle is going to
َََ تہ شانہ ݰئیلَ گازَشیر۔,There is a nice lawn in your courtyard.
َ لیشوَ گازان ژَی بویان۔,The cow is eating grass.
ور۔,wind blows and leaves move.
ن َیسیََََاسور۔,There is a little child sitting at the foot of the wall.
 گدیریَ , mad person 
گدیریَمہَدویان۔,The mad person is hitting me.
گراس ای فصلوَََنام۔,Millet is the name of a crop.
مہ گرامٹر ݰو بو جمَموش۔,My neighbor is a very good man.
لچٹر لچ گرانیش یوراَموَ رَپھے۔,Don't stand in the sun at high noon.
گراہ , snapping turtle; eclipse
ݯوکیتائی۔َ,A snapping turtle grabbed the swimmer
َََ یورا گراہَݯوکیتائی۔,A solar eclipse began.
انجیلیک۔,In summertime one should wear white clothes.
 گَرواَنَ ,  top part of front of shirt
مہ گروان تو صدفَشیٹی۔,There are buttons on the front of my
ہورو بکہ لوٹ گ روڑیَشیر۔,S/he has a big goiter in her/his neck.
 گرواڑوَغَ ,peach
گرواڑوغ پوݯرَ شیٹی۔,The peaches are ripe.
گرینَجَ ,  hulled; uncooked rice 
باس مٹے گرینجَ سفانَسار اصل۔,Basmati rice is the best of all.
گڑیَ ,timepiece
گڑیا کیہ ٹیمَہوئی۔,What time is it on (the/your) watch/clock?
 گالس ,indigenous cherry; glass/tumbler (for
گالس ݯھییےاراَمٹیَ مش پچوران۔,Cherries ripen in May in Chitral.
گم بوریَ , flower; pox
َََ تہَہوستہ گمبوریو کاَ تتَدیٹے اسور؟َ,Who has given you the flower in your
شیٹی۔َ,Pox have come out on the children.
گمیݰ لیشوَسار بو ݯھیرَدوئی۔,A buffalo gives more milk than a
cow. گوخ gox n hollow in a tree,trunk
کانو گوخوَ مݯیھَ ماڑیَشیر۔,There is a beehive in the hollow of the tree.
گور , witch; grave [burial place]; alert
بیر دوَ ہنون گور بس بغائی۔,Today the dead person has gone to spend
گوسان؟,Why are you coming to school late?
گوردوَغَ , donkey; ass; figurative; idiot; stupid person
بوگوردوغوَسوریَبارَبوَشیٹیََ۔َ,There is a lot of load on the donkey.
َ گوردوغ ڑوئیرانَ۔َ,The/a donkey is braying.
َ گوردوغَ ڑوئی بارا۔,Proverb. When the donkey brayed he got
پرائی۔َ,He proved to be a very stupid person; he
پ ھوکَژاؤ تتو گوڑی ݯوگ اشور۔,The little son is clinging to his
ہیہَ گوڑوَ مہ بوژوئی شیر۔َ,In this gully is my property boundary
گوسنان ماژی صفاَََکورے۔,Sweep up the trash and clean (the place).
ݰپیکوئے گوݰ کونیان۔,They are making dough for bread.
گوݰیٹی , flat wooden stick with rounded
گوݰینیوَسوراَ ݰپیکو اویہیے۔,Turn over the bread with the dough -turning
گول ,  side valley having a stream with water
نیئیَگولوَسوریَسیرَنیئیَاسوئی۔َاسوئی۔,They have built a bridge over the stream. (A bridge has been built over the stream.)
 گوم,  wheat
شی۔,When you sow wheat you get wheat;
گومیت , n brother -in-law 
مہ گومیت گیٹے ا سور۔,My brother -in-law has come.
َََ بیل تو گونَدیٹے شیرا، نو؟َ,Has a handle been put on the spade or
َََ مہ گوناَگتر۔,Come near me.
پیݰیرو گونخر لکیھَ شیر۔,The flour has been put in the store -room.
گیر , saw 
بوئی۔َ,One can't walk on a dark night without a
ہاواَدوݰَپشاورارَہَاَاتام۔,I came from Peshawar yesterday.
ہیس تن باروَمہ گیردائیَ پرائی۔,S/he put her/his burden on my neck.
پوچیروَال ڑوؤ لوڑی چھییی۔,(a) Look for (select) a ripe melon and pick
َلََ غلَ ,  very good; excellent
 زپان ن گیَ ال غل اریر۔,S/he washed the clothes and got them
غل لیتتام۔ )ََ)ََ,Inside the rock I found a spinel crystal.
َََ ہیس تن بوکو الکیتائی۔َ,He divorced his wife.
پلوغانَالؤ بوَ شیر۔,There is a lot of fruit on the apple
trees. لب ل بوَ lablabú n,beet
لب ل بو بوَزوالو ا شناری۔,The beet is a very tasty thing.
لچھیئک , to boil
لچھاوے۔,Boil the (pieces of) meat well.
لژیکَ ,pounded split wheat boiled
سور پونگان لژیکَدرا ا سوئی۔,A dish of head and feet together with split
لکھومان۔,Because my leg hurts  I am stepping
اسقان۔,It is easy to make a house in a flat place.
لکھیک ,to place; put; keep
َ کتابوَمیریہ لکیھ اسوم۔,I have put the book on the table.
َ کہ جم بیرائیَ تنَ دستہ لکھوم۔,If it proves good I will keep it with me (Lit.
اوا تتے لوَدیکو نو پ توسان۔,When I speak to you; you are not
 لوڅ , light (in weight)
لوڅ اشناریو ا سنیئک اسقان۔,It is easy to lift a light object.
ڈق جہازو لڑینیان۔,The boys are watching/looking at the plane.
لوس نوکو پ ھوک کوریلیک۔,(You) should make (your) morsel/bite smaller.
 لوسیَکَ , to eat a morsel/bite (of food)
یم نو پخٹے ل سونیان۔,The guests are eating morsels of rice.
لوݰیَکَ , to singe the feathers of a bird 
پایوَسور پونگان لݰینیان۔,They are singeing the hair of the goat's head
دپھیران۔,Having heated the iron red -hot
لوہتیَکَ , to roll on the ground 
ڈقَزخیم بیٹے ݯھوتیٹی لہ توران۔,The boy having been wounded is rolling on the gorund
لہازو اسپتالہ االئی۔,They took the patient to the hospital.
لیران۔َ,The dog is licking its master's feet.
لیمان۔,Every morning putting honey on my finger
ل گیٹیََ , tongue
ہوؤ ل گیٹیَ نوَتیھ ئوران۔,His/her tongue is never still. (i.e. S/he is
مزدوران کھانجان لیپینیان۔,The laborers are plastering the walls.
لیݯھیک , step on something
څیڅیقَ کھارانَََلیݯھینیان۔,The children are trampling the beds of the kitchen garden.
 لیئَکَ ,to cut/harvest
َََ پائسہ لیئکَ غریبو بحرے گران۔َ,It is hard for a poor man to find money.
َ گوم لیئک کیہ گران ا شناری۔,To harvest wheat is not a difficult thing!
پھوردوؤ لیری ݮو کاَ نیرییتائی۔,Who took the bark off the sapling?
لیٹی نیٹی کیہ ا شٹوک۔,A game in which blood is spilled is no (proper)
ژینگوغو ماریکوَبوسا؟,Can you kill the scorpion?
ماڑ , den (animals); living place (humans)
َ کہاکَماڑَ مݰکیران۔,The hen is looking for a nest/place to lay
َََ مایون کانہَماڑَدیٹے ا سور۔,The oriole has made a nest in a tree.
ماݰان پھوئیَ پازگاہَََکوؤ۔,Blow away the husks and clean (the grain).
 مَتار , ruler (mehtar) of Chitral
متار خوشان بیٹےَ مہربائی کوراؤتائی۔,When the Mehtar was pleased he would wlecome you
ہݰ کھواروَ متالَ متے بیان اریر۔,S/he told me a Khowar proverb.
 مخ ,face 
ڈق تنَ مخوَ نو ن گی اسور۔,The boy has not washed his face.
اوا نوغَ مخیری کوری اسوم۔,I have built a new verandah.
مݯیھ بوَویز ا شناری۔,Honey is a thing of great medicinal
بوئی۔,Fish meat is the most expensive
of all. م رݯ mra č ̣ n mulberry,(tree or fruit)
م رݯ ݯ ھ نور گ۔,Knock down some mulberries (with a
long stick)! مرکھان markhán n fog مرکھاناَ ہیش کھیو نوَپوشیتام۔م۔َ َُ,In the fog I couldn’t see anything.
مَڑاغَََکورے۔,Tie up the flour in a cloth well.
کمروَ مژی اسوسا؟,Have you swept the
room? مس mas n,moon; month
َََ مس پنجراݰَ بیٹےَََشیرر۔,The moon is full.
َََ مس چٹیَ گیٹےَ ا سوم۔,I have come on a month's leave.
مشی کھانجَدویان۔,The mason is building a wall.
 مݰکیکَ ,to ask for; to look for; to beg
اوا کیُاغ نوَ مݰکیمَان۔,I am not asking for anything.
مَکافَتَ , sudden/unexpected problem 
کیہَدیَ مکا فیےَوئیتوَدونیان۔,One encounters so many calamities.
 مگاس =,housefly
مگاس گریݰپو ٹ پَبوئی۔,There are a lot of flies in summer.
 م گم , but
غریب۔,That man is good but (he is) poor.
بوݯھوݰیٹی۔,Violets bloom early in the spring.
غیرییَسفارَکوریکَ مش کل۔,If one doesn't have a companion it is difficult
َََ مہ لوؤ نوَ منیتائی۔,S/he didn't accept what I said.
َ کمروؤ نوَ منیتائی۔,S/he didn't plaster the room.
کَݰیتائی۔,The dull knife wasn't able to slaughter the adze
 مَََوَدیک ,to churn; shake
مَََوَدیکوَََنوَبیتائیی۔,S/he could not churn  the buttermilk well
 ۔ موڑ ,lower part; bedding
شیٹی۔,The bedding hasn't been spread.
موڑیَ,  down 
ت ݯھوَ مَوژَ ٹ پَََبیرائی۔,The (bones of the) (male) goat turned
َََ موژہ ن یسیَ کیائی بوسان؟,Why are you sitting in the center?
نور۔,Divide the (shared) thing among
جمَموش نو چنگیر۔,A good man doesn't tell lies.
مہچَځاہوَپینَبیتیَشیر۔,The chili in the food is (too) hot. (i.e. strongly
ہیسَمہمیرییٹیَ ژویا پھار ن سائی۔,S/he jumped over the water channel (in direction away from speaker).
 مُخ ,nail
مُخَداروَ نوَََݯوکیتائی۔,The nail did not penetrate the wood.
مییک , uncle 
مہَمییکَ متَ ژان پالیران۔,My uncle feels much love and sympathy
یم نوَشاناَ ن یسیَ اسوئی۔,The guests are sitting in the
کیہ میوہ دی پوچیَشینیا؟,Are any fruits or anything ripe? 
میہ , lower back; waist
کسیران۔,S/he is walking bent over because of a position).
 نابیہیل  ,disowned
تت تییَیاوو نابیہیل اریر۔,The father disowned his son.
 ناغزَیَ  ,dirty
زپ ناغزیَہوئی۔َݰاؤ ن گ ور۔,(The/your) clothes have become dirty; wash
تیریاوے۔َ ناگاہَ کا گوئی۔َ,Hurry up - someone might come suddenly.
ناالئق روئی تیارَ کورموَتونجیر۔,An incompetent person ruins (even) a
ناواہَڅَ , difficult; inconvenient; dangerous
ناواہڅَ ژغائیَ مو کوےس۔ ٹھور بوس۔,Don't walk in a dangerous place; you will fall
نخ , sleeping nook/alcove (inside the house);
َ یو مونو نخی پاریٹی۔,In the winter (people) sleep in the
َََ متار نخہ ن َشَیَاسور۔,The Mehtar is sitting in the bāradarī.
نخوئی ,chick pea; garbanzo; bean
نخوئیَدال لیئو ٹ پیر۔,Chick peas increase a person's blood.
 نرکوکو , cock; rooster
نرکوکو جم ک رپ ھیران۔,The cock is crowing lustily.
نس ,segment; piece; edge
نسَمہَہوستہَہوئیَ۔,The stick broke and a piece came off in my hand. 
نست ,previous times;  in front of; ahead;
َََ ریٹیَ سفوَ سار نسیےَایہ اریر۔َ,The dog set off ahead of everyone.
َََ نستوَروئی دی ت ھرارَاوشوئی۔,People of past times too were very
ن سیَکَ , to come out; to leave; go off
تھوئیک ن سیکو ٹ کَزرانَہوتُام۔,When the gun went off I was severely injured
پھیک بیٹےَ ن شیکَمہَ دش۔,I don’t like to sit quietly (without speaking).
ن ݰَ پَوَڑیَکَ , to be uprooted; break off
َ چنار ن ݰپوڑیَشیر۔,The chinar has been/is uprooted.
ݰپوڑیتائی۔َ,In the strong wind the chinar tree was
ن ݰپیرییکَ , to uproot; pull out
ݰپیریے۔,Pull the weeds from the maize field.
 نݰَکَ ,beak; bill
کوریکاغَبوغوزوَنݰکہَکوریَاوائی۔,A crow carried the frog away in its beak.
ن یسے ن ش۔ تہ پاشیم۔,Come out I will show you.
 نغڑا چو,naγɫáču n rolling pin
نغڑاچو کورا لکیھ اسوس؟,Where have you left/put the rolling pin?
کوئی۔,What acts as a remedy for a
پَسَہ دوریہَدوریَ کماَنفری۔,How many persons are there in your
ڑوم۔,Khowar proverbs also have very deep
زپ ن گیک کیہ گیران۔,It isn't difficult to wash clothes.
نموئےَ کوسیکو پونگو ځوخَدوئی۔,If (you) walk barefoot thorns will prick (your)
ن میریوَوختَݰوئی بیٹےَ شیر۔,The time for prayers is
نن تن اژیلیوتَژان پلیر۔َ,
نو , not
